Date,Description,Amount,Merchant,Notes
2026-02-01,Freelance web design payment,2500.00,Acme Corp,January project payment
2026-02-01,Rent payment,-1850.00,Riverside Apartments,February rent
2026-02-03,Grocery shopping,-142.56,Whole Foods,Weekly groceries
2026-02-05,Coffee meeting,-8.75,Starbucks,Client meeting
2026-02-07,Side project payment,800.00,Tech Startup LLC,Consulting fee
2026-02-08,Gas station,-65.40,Shell,Full tank
2026-02-10,Gym membership,-79.99,Equinox,Monthly dues
2026-02-12,Restaurant lunch,-45.80,Cheesecake Factory,
2026-02-14,Freelance writing,450.00,Medium Publication,Article payment
2026-02-15,Internet bill,-89.99,Comcast,Monthly service
2026-02-15,Phone bill,-95.00,AT&T,Monthly plan
2026-02-16,Amazon purchase,-156.78,Amazon,Home office supplies
2026-02-17,Dividend payment,125.50,Vanguard,Investment income
2026-02-17,Electric bill,-134.22,PG&E,Monthly utility
2026-02-18,Bonus payment,1200.00,Employer Direct Deposit,Q4 performance bonus
2026-02-19,Grocery shopping,-98.34,Trader Joe's,Midweek restock
2026-02-20,Car insurance,-185.00,Geico,Monthly premium
2026-02-21,Dinner out,-112.50,Italian Restaurant,Anniversary dinner
2026-02-22,Refund received,45.99,Best Buy,Return refund
2026-02-23,Pharmacy,-32.15,Walgreens,Prescriptions
2026-02-24,Coffee shop,-6.50,Blue Bottle,Morning coffee
2026-02-25,Pet supplies,-89.00,PetSmart,Dog food and treats
2026-02-26,Movie tickets,-42.00,AMC,Weekend entertainment
2026-02-27,Cashback reward,28.75,Chase Credit Card,February rewards
2026-02-28,Water bill,-38.50,City Water Works,Monthly utility